id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
230;顎;0;ガク、あご;;gaku;jaw;ago;"jaw, chin"
231;掛;1;か-ける、か-かる、かかり;;-;-;"ka(keru), ka(karu), kakari";"hang on, be suspended from, be caught, be trapped; be built; begin; arrive at; require, cost; play against, oppose; be splashed; weigh (a pound); be levied; (the instrument or tool) works; attack, fall on; is now showing at; consult; depend (on a son); hang, set up (a ladder); cover; construct, install; sit down; sprinkle, pour on; put on; ring up; weigh; multiply; levy; pay (in installments); anchor; start (a machine); wind, turn on (radio); spend on; offer (prizes); put (under treatment); set (on fire); duty; person in charge; expenses, charges; tax; dependence (on someone); scale; outward appearance; construction; beginning; bite (of a tool)"
232;潟;1;かた;;-;-;kata;lagoon
233;括;1;カツ;くく;katsu;"tie up, hang (someone); arrest; fasten";-;-
234;活;3;カツ;い;katsu;"living; being helped; resuscitation";-;-
235;喝;1;カツ;;katsu;"scold, get hoarse";-;-
236;渇;1;カツ、かわ-く;;katsu;thirst;kawa(ku);"be thirsty; feel dry; dry up, be parched"
237;割;3;カツ、わ-る、わり、わ-れる、さ-く;き;katsu;"divide, cut, halve; separate; split, rip; break, crack, smash; dilute";"wa(ru), wari, wa(reru), sa(ku)";"divide, break, rate, percentage"
238;葛;0;カツ、くず;つづら、かずら;katsu;"arrowroot, a strong-fiber vine";kuzu;"arrowroot; arrowroot starch"
239;滑;1;カツ、コツ、すべ-る、なめ-らか;;"katsu, kotsu";"slide, glide, skate; be slippery; slip; fail in exams";"sube(ru), name(raka)";"slide, glide, skate; be slippery; slip; fail in exams; smooth"
240;褐;1;カツ;;katsu;"woolen kimono";-;-
241;轄;1;カツ;;katsu;wedge;-;-
242;且;1;か-つ;;-;-;ka(tsu);"also, furthermore"
243;株;1;かぶ;シュ;-;-;kabu;"stump; shares, stocks; connections; business; counter for small plants"
244;釜;0;かま;プ;‐;-;kama;"kettle, cauldron, iron pot; bioler"
245;鎌;1;かま;;‐;-;kama;"sickle, scythe; trick"
246;刈;1;か-る;;-;-;ka(ru);"cut, clip; shear; reap; trim, prune"
247;干;2;カン、ほ-す、ひ-る;;kan;"parch, get dry; ebb, recede";"ho(su), hi(ru)";"parch, get dry; ebb, recede; dry; desiccate; drain (off); drink up; dry up"
248;刊;2;カン;;kan;"publishig; carve, engrave";-;-
249;甘;2;カン、あま-い、あま-える、あま-やかす;うま;kan;"presume upon, take advantage of; coax";"ama(i), ama(eru), ama(yakasu)";"presume upon, take advantage of; coax; pamper, be indulgent, coddle; sweet; honeyed (words); lenient; half-witted; easy-going; soft, mild; loose; trashy, sentimental"
250;汗;2;カン、あせ;;kan;"be sweaty";ase;perspiration
251;缶;1;カン;;kan;can;-;-
252;完;3;カン;;kan;"comletion, end";-;-
253;肝;1;カン、きも;;kan;liver;kimo;"liver, pluck, courage, nerve"
254;官;3;カン;;kan;"the Government, the authorities; the Court";-;-
255;冠;1;カン、かんむり;;kan;"crown, diadem; first, best, peerless";kanmuri;"crown, diadem; a top character radical"
256;巻;2;カン、ま-く、まき;ケン;kan;"volume, book, part; reel";"ma(ku), maki";"roll up; wind, coil; tie around; wind up; roll (of silk); volume, book; winding (of a clock)"
257;看;2;カン;み;kan;see;-;-
258;陥;1;カン、おちい-る、おとしい-れる;;kan;"fall into, get into, slide into, lapse into; cave in, sink; fall (a fort)";"ochii(ru), otoshii(reru)";"fall into, get into, slide into, lapse into; cave in, sink; fall (a fort); ensnare, tempt"
259;乾;2;カン、かわ-く、かわ-かす;いぬい、ほ、ぼ;kan;"heaven; emperor";"kawa(ku), kawa(kasu)";"dry, dry up; be dry; desiccate"
260;勘;1;カン;;kan;"perception, intuition; the sixth sense";-;-
261;患;1;カン、わずら-う;;kan;disease;wazura(u);"be ill, suffer from; be afficted"
262;貫;1;カン、つらぬ-く;;kan;"8.3/1 pounds";tsuranu(ku);"pierce, penetrate, perforate; shoot through; attain (one's object)"
263;寒;3;カン、さむ-い;;kan;"midwinter, coldest season";samu(i);"cold, chilly"
264;喚;1;カン;よ;kan;"cry, scream, yell, shout, clamor";-;-
265;堪;1;カン、た-える;;kan;"endure; support; withstand, resist, brave, weather; be fit for, be equal to";ta(eru);"endure; support; withstand, resist, brave, weather; be fit for, be equal to"
266;換;2;カン、か-える、か-わる;;kan;"change, turn, convert, exchange, renew, substitute, replace";"ka(eru), ka(waru)";"change, turn, convert, exchange, renew, substitute, replace; relieve"
267;敢;1;カン;あ;kan;"sad, tragic, pitiful; frail, feeble; fleeting; unkind";-;-
268;棺;1;カン;ひつぎ;kan;"casket, coffin";-;-
269;款;1;カン;;kan;"article, section; goodwill, friendship; collusion";-;-
270;間;5;カン、ケン、あいだ、ま;あ、か、い;"kan, 	ken";"interval; space; between; among; discord; favorable opportunity; six feet";"aida, ma";"space, interval, gap; between, among; midway; on the way; distance; time, period; relationship; room; pause; rest (in music); a while; leisure; luck; timing, harmony"
271;閑;1;カン;ひま、な;kan;leisure;-;-
272;勧;1;カン、すす-める;;kan;"recommend, advise, encourage; offer (wine) ";susu(meru);"recommend, advise, encourage; offer (wine) "
273;寛;1;カン;ひろ;kan;"leniency, generosity";-;-
274;幹;1;カン、みき;;kan;"(tree) trunk";miki;"(tree) trunk"
275;感;3;カン;;kan;"feeling, sensation, sentiment; sense; emotion; impression; intuition";-;-
276;漢;4;カン;;kan;"Han (Dynasty); (old name for China), masculine suffix";-;-
277;慣;3;カン、な-れる、な-らす;;kan;"experience; become a habit";"na(reru), na(rasu)";"tame, charm (animals); train, exercise, drill; habituate, accustom to; get used to, become experienced; be tamed; get too familiar, mature"
278;管;2;カン、くだ;;kan;"pipe, tube; (brush) holder; wind instrument";kuda;"pipe, tube; drunken talk"
279;関;3;カン、せき、かか-わる;;kan;"barrier, gateway";"seki, kaka(waru)";"concern oneself in, have to do with; affect, influence; stick to (opinions); barrier, checking station"
280;歓;1;カン;よろこ;kan;"joy, pleasure";-;-
281;監;1;カン;ケン、ゲン;kan;"office, government office; director, head official";-;-
282;緩;1;カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める;;kan;"loosen, lessen; relax; be unguarded; be moderate";"yuru(i), yuru(yaka), yuru(mu), yuru(meru) ";"loose, slack; lenient, generous, slow; easy (grade); gentle; slow (stream); loosen, lessen; relax; be unguarded; be moderate; unbend, unfasten; ease, slacken; mitigate"
283;憾;1;カン;;kan;"regret, be sorry for";-;-
284;還;1;カン;ゲン、かえ;kan;"return; take one's leave; come again; come around (time)";-;-
285;館;4;カン、やかた;たち、たて、だて;kan;"mansion, large building, hall";yakata;"mansion; temporary residence"
286;環;2;カン;たまき;kan;ring;-;-
287;簡;2;カン;ケン;kan;"brevity, simplicity";-;-
288;観;3;カン;み;kan;"look, appearance; spectacle; condition; view, outlook";-;-
289;韓;0;カン;から;kan;Korea;-;-
290;艦;1;カン;;kan;warship;-;-
291;鑑;1;カン、かんが-みる;かがみ;kan;"take warning from, learn a lesson from ";kanga(miru);"take warning from, learn a lesson from "
292;丸;2;ガン、まる、まる-い、まる-める;;gan;"full (month); perfection; purity; the ship-name suffix anciently used after the name of a sword or a child";"maru, maru(i), maru(meru)";"full (month); perfection; purity; the ship-name suffix anciently used after the name of a sword or a child; make round, round off, roll up, curl up; seduce; cajole; explain away; round, circular, spherical"
293;含;2;ガン、ふく-む、ふく-める;ゴン;gan;"hold in the mouth; bear in mind, understand; cherish, harbor; contain, comprise, have, hold, include, embrace; be charged or loaded with, be dripping with, be full of, be suffused with";"fuku(mu), fuku(meru)";"hold in the mouth; bear in mind, understand; cherish, harbor; contain, comprise, have, hold, include, embrace; be charged or loaded with, be dripping with, be full of, be suffused with; include, instruct, make one understand"
294;岸;2;ガン、きし;;gan;"bank, shore, coast, brink";kishi;"bank, shore, coast, brink"
295;岩;2;ガン、いわ;;gan;"rock, crag; reef";iwa;"rock, crag; reef"
296;玩;0;ガン;;gan;"play; take pleasure in; play (on an instrument); play with; make sport of; trifle with (affections)";-;-
297;眼;1;ガン、[ゲン]、まなこ;め;"gan, [gen]";"eye; look, gaze; notice, attention; viewpoint; discrimination, insight; experience; treatment; care, favor, pity; texture, weave; mesh; grain, square; sight, vision; tooth (of a saw); weight; eye (of a needle)";manako;eye
298;頑;1;ガン;;gan;"stubborn; foolish";-;-
299;顔;3;ガン、かお;;gan;"face, countenance";kao;"face, countenance, expression; honor, prestige"
300;願;3;ガン、ねが-う;;gan;"prayer, petition, vow";nega(u);"desire, wish, hope; beg, implore"
301;企;1;キ、くわだ-てる;;ki;"plan, plot, propose, design, intend, contemplate; attempt, undertake";kuwada(teru);"plan, plot, propose, design, intend, contemplate; attempt, undertake"
302;伎;1;キ;;ki;"deed, skill";-;-
303;危;3;キ、あぶ-ない、あや-うい、あや-ぶむ;;ki;"be afraid of, feel uneasy about, shrink from";"abu(nai), aya(ui), aya(bumu)";"fear, have misgivings, be doubtful, mistrust; dangerous; critical, grave; uncertain, unreliable; limping; narrow, close; watch out"
304;机;2;キ、つくえ;;ki;"desk, table";tsukue;"desk, table"
305;気;5;キ、ケ;いき;"ki, 	ke";"spirit, mind, soul, heart; intention; bent, interest; mood, feeling; temper, disposition, nature; care, attention; air, atmosphere; flavor; odor; energy, essence; indications, symptoms; taste; touch, dash, shade, trace; spark, flash; suspicion";-;-
306;岐;1;キ;;ki;"forking road; street; scene; quarters; arena, theater";-;-
307;希;2;キ;ケ、こいねが、まれ;ki;Greece;-;-
308;忌;1;キ、い-む、い-まわしい;;ki;"mourning; death anniversary; something detestable";"i(mu), i(mawashii)";"abhor, have an aversion for, avoid, shun; taboo; abstain from; objectionable, abominable, offensive; ominous, unlucky"
309;汽;1;キ;;ki;"vapor, steam";-;-
310;奇;1;キ;く;ki;"strangeness, curiosity, eccentricity";-;-
311;祈;2;キ、いの-る;;ki;"pray; wish";ino(ru);"pray; wish"
312;季;2;キ;すえ;ki;season;-;-
313;紀;1;キ;おさ、のり;ki;"account, narrative, history, annals, geological period";-;-
314;軌;1;キ;;ki;"wheel track; railway; orbit; rut; rule; model; road, way of doing";-;-
315;既;1;キ、すで-に;;ki;"previously; already, long ago; on the point of; actually";sude(ni);"previously; already, long ago; on the point of; actually"
316;記;3;キ、しる-す;;ki;"account, narrative, history, annals; remembering; writing; the Kojiki";shiru(su);"write down; inscribe; mention, give an account of"
317;起;4;キ、お-きる、お-こる、お-こす;た;ki;"get up, rise, awake; occur; (a fire) is kindled ";"o(kiru), o(koru), o(kosu)";"get up, rise, awake; occur; (a fire) is kindled; raise up, set up, pick up (someone); open, begin; promote, organize; generate; get sick; awaken; establish; plow; kindle (a fire); happen; break out; originate in; rise, flourish, spring up; be produced; have an attack of"
318;飢;1;キ、う-える;;ki;"be hungry, starve";u(eru);"be hungry, starve"
319;鬼;1;キ、おに;;ki;"devil, demon; spirits of the dead";oni;"devil, demon, ghost; spirits of the dead; fiend; creditor; the one who is ""it"" (in games)"
320;帰;4;キ、かえ-る、かえ-す;;ki;"return; take one's leave; come again; come around (time)";"kae(ru), kae(su)";"return; take one's leave; come again; come around (time); send (someone) back"
321;基;2;キ、もと、もとい;;ki;"radical (in chemistry); counter for lanterns, wreaths, motors, silos, and heavy machines; foundation; fundamentals; basis";"moto, motoi";"basis, foundation, origin"
322;寄;3;キ、よ-る、よ-せる;;ki;"let approach, bring near; gather, collect, summon, muster; add up; push aside; attack; send a letter; contribute to; become dependent on, take refuge with";"yo(ru), yo(seru)";"let approach, bring near; gather, collect, summon, muster; add up; push aside; attack; send a letter; contribute to; become dependent on, take refuge with; approach; assemble; call at; come; lean toward; obey; lean on, depend on; conclude; be possessed (by devils); present (offerings)"
323;規;3;キ;ぶんまわし、のり、ただ;ki;"standard; measure";-;-
324;亀;1;キ、かめ;;ki;"turtle, tortoise";kame;"turtle, tortoise"
325;喜;3;キ、よろこ-ぶ;;ki;"rejoice, be glad, be pleased";yoroko(bu);"rejoice, be glad, be pleased"
326;幾;1;キ、いく;;ki;"how many, how much; how far, how long; so much per; however(difficult)";iku;"some, several, many; how many, how much"
327;揮;1;キ;;ki;"shake, wield, brandish; be invigorated, be spirited, flourish";-;-
328;期;3;キ、[ゴ];;"ki, [go]";"time, date, period, term; an age; season; session; a stage;  opportunity";-;-
329;棋;1;キ;;ki;"Japanese chess";-;-
330;貴;1;キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ;;ki;"value, prize, esteem; respect, honor, revere";"tatto(i), tooto(i), tatto(bu), tooto(bu)";"value, prize, esteem; respect, honor, revere; valuable, precious; noble, exalted, venerable"
331;棄;1;キ;す;ki;"throw away, discard, abandon, desert, give up; renounce, relinquish; resign; lay down (one’s life); part with; sacrifice; reject, condemn";-;-
332;毀;0;キ;;ki;"break, destroy, demolish";-;-
333;旗;1;キ、はた;;ki;"flag, banner, standard, ensign, pennant, streamer";hata;"flag, banner, standard, ensign, pennant, streamer"
334;器;1;キ、うつわ;;ki;"container; utensil, instrument, tool, apparatus; set; ability";utsuwa;"vessel, receptacle, utensil, implement, instrument; capacity, ability"
335;畿;0;キ;;ki;"capital; capital suburbs";-;-
336;輝;1;キ、かがや-く;て;ki;"shine, sparkle, gleam, twinkle; brilliant, radiant, bright";kagaya(ku);"shine, sparkle, gleam, twinkle; brilliant, radiant, bright"
337;機;3;キ、はた;;ki;"opportunity; occasion, time; machine, airplane";hata;loom
338;騎;1;キ;;ki;"riding on horses; counter for horsemen";-;-
339;技;2;ギ、わざ;;gi;"art, craft; ability, skill, feat, performance";waza;"deed, act, work, art, trick, performance"
340;宜;1;ギ;よろ、むべ;gi;"good, good-natured; pleasing; precious; noble; lovely, beautiful, fine; lucky; efficacious; right; suitable, justifiable; appropriate, satisfactory; better; all right; unnecessary; no objection; intimate, friendly; easy; well; desirous";-;-
341;偽;1;ギ、いつわ-る、にせ;;gi;"lie, falsity; deceive; pretend; cheat";"itsuwa(ru), nise";"lie, falsity; deceive; pretend; cheat; sham, counterfeit, forgery, imitation, false (prophet)"
342;欺;1;ギ、あざむ-く;;gi;"deceive, cheat, delude";azamu(ku);"deceive, cheat, delude"
343;義;1;ギ;よ;gi;"justice, righteousness, morality; humanity; integrity, honor, loyalty, chivalry, devotion; meaning, significance";-;-
344;疑;3;ギ、うたが-う;;gi;"doubt; distrust; be suspicious of";utaga(u);"doubt; distrust; be suspicious of"
345;儀;1;ギ;;gi;"rule; ceremony; case, affair, a matter ";-;-
346;戯;1;ギ、たわむ-れる;ゲ、ざ;gi;"play, sport, frolic, joke; flirt with";tawamu(reru);"play, sport, frolic, joke; flirt with"
347;擬;1;ギ;;gi;"aim (a gun) at; nominate for office; imitate, mimic; compare";-;-
348;犠;1;ギ;;gi;sacrifice;-;-
349;議;3;ギ;;gi;"consultation, deliberation, debate; consideration, proposal, suggestion";-;-
350;菊;1;キク;;kiku;chrysanthemum;-;-
351;吉;1;キチ、キツ;よ;"kichi, 	kitsu";"good luck; joy, congratulations";-;-
352;喫;2;キツ;;kitsu;"eat, drink, smoke; receive (a blow, etc.)";-;-
353;詰;2;キツ、つ-める、つ-まる、つ-む;なじ;kitsu;"be pressed in, be packed, become close; be checkmated";"tsu(meru), tsu(maru), tsu(mu)";"be pressed in, be packed, become close; be checkmated; stuff, fill, pack, plug; place closely; write closely; sit closely; shorten; curtail; checkmate; keep doing; hold (one’s breath); attend (office); be stopped up, be blocked; be full, be stuffed; be shortened, contract; be hard up; be held up, be deadlocked"
354;却;1;キャク;かえ;kyaku;"instead, on the contrary; rather, all the more";-;-
