id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
1576;難;3;ナン、かた-い、むずか-しい;ナ;nan;"trouble, difficulty; accident, disaster; defect; criticism ";"kata(i), muzuka(shii)";"impossible. hard, difficult; delicate; troublesome; doubtful; hopeless; stern; sullen; hard to please; serious; technical "
1577;二;5;ニ、ふた、ふた-つ;ジ;ni;"two, second";"futa, futa(tsu)";two
1578;尼;1;ニ、あま;;ni;nun;ama;nun
1579;弐;1;ニ;;ni;"two, second";-;-
1580;匂;0;にお-う;;-;-;nio(u);"be fragrant, smell; stink; glow, be bright"
1581;肉;4;ニク;;niku;"flesh, muscles; meat; the flesh; seal pad, ink pad; thickness, succulence ";-;-
1582;虹;1;にじ;コウ;-;-;niji;rainbow
1583;日;5;ニチ、ジツ、ひ、か;;"nichi, 	jitsu";"day; Sunday";"hi, ka";"sun; time; day, date"
1584;入;5;ニュウ、い-る、い-れる、はい-る;ジュ、しお;nyuu;"go in, come in; flow into; set; set in ";"i(ru), i(reru), hai(ru)";"go in, come in; flow into; set; set in. put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in; insert; set (jewels); employ; listen to; tolerate, comprehend; include; pay (interest); cast (votes). enter; break into; join; enroll; contain, hold; accommodate; have (an income of) "
1585;乳;2;ニュウ、ちち、ち;;nyuu;"milk; the breasts; loop";"chichi, chi";"milk; the breasts; loop"
1586;尿;1;ニョウ;;nyoo;urine;-;-
1587;任;3;ニン、まか-せる、まか-す;;nin;"duty, responsibility; office; mission; term ";"maka(seru), maka(su)";"entrust to, leave to "
1588;妊;1;ニン;;nin;"become pregnant; be pregnant; be filled with";-;-
1589;忍;1;ニン、しの-ぶ、しの-ばせる;;nin;"bear, endure, put up with; hide (oneself) ";"shino(bu), shino(baseru)";"bear, endure, put up with; hide (oneself). conceal, secrete "
1590;認;3;ニン、みと-める;したた;nin;"witness; sight; discern, authorize, recognize; appreciate; approve of; judge, conclude; believe; regard as ";mito(meru);"witness; sight; discern, authorize, recognize; appreciate; approve of; judge, conclude; believe; regard as "
1591;寧;1;ネイ;やす、むし;nei;preferably;-;-
1592;熱;3;ネツ、あつ-い;;netsu;"heat, warmth; temperature; fever; mania, fad; enthusiasm; passion ";atsu(i);hot
1593;年;5;ネン、とし;;nen;"year; term of service";toshi;"year; age, time of life"
1594;念;3;ネン;;nen;"sense, idea, thought; feeling; desire; concern, attention, care ";-;-
1595;捻;0;ネン;ひね;nen;"pinch (of salt); small gift of money; a twist";-;-
1596;粘;1;ネン、ねば-る;;nen;"be sticky, be glutinous, be greasy; persevere";neba(ru);"be sticky, be glutinous, be greasy; persevere"
1597;燃;2;ネン、も-える、も-やす、も-す;;nen;burn;"mo(eru), mo(yasu), mo(su)";"burn, blaze, glow"
